iter	Passed	Remaining
0	203	203295
1	204	102224
2	206	68608
3	207	51734
4	210	41910
5	213	35399
6	215	30582
7	217	26909
8	218	24029
9	219	21708
10	220	19809
11	221	18251
12	222	16912
13	223	15772
14	225	14810
15	226	13944
16	228	13205
17	229	12525
18	230	11921
19	231	11364
20	233	10867
21	235	10472
22	238	10150
23	241	9806
24	242	9455
25	243	9128
26	245	8837
27	246	8561
28	247	8294
29	249	8055
30	250	7822
31	251	7614
32	253	7422
33	254	7228
34	255	7046
35	256	6876
36	258	6718
37	259	6563
38	260	6419
39	261	6283
40	263	6156
41	264	6031
42	266	5921
43	267	5810
44	268	5699
45	269	5595
46	271	5501
47	272	5403
48	273	5306
49	274	5216
50	275	5128
51	277	5058
52	279	4986
53	280	4911
54	281	4841
55	282	4770
56	283	4696
57	284	4626
58	285	4556
59	286	4489
60	287	4423
61	288	4360
62	289	4300
63	290	4242
64	291	4192
65	293	4147
66	294	4094
67	294	4042
68	296	3996
69	297	3949
70	298	3901
71	299	3853
72	299	3807
73	300	3762
74	301	3718
75	302	3680
76	303	3642
77	305	3611
78	306	3576
79	307	3540
80	309	3511
81	310	3479
82	311	3441
83	312	3407
84	314	3381
85	315	3357
86	316	3326
87	317	3294
88	319	3271
89	320	3244
90	321	3215
91	323	3187
92	323	3159
93	324	3132
94	325	3104
95	326	3078
96	327	3052
97	328	3025
98	329	2999
99	330	2973
100	331	2948
101	332	2925
102	333	2904
103	335	2888
104	336	2866
105	337	2843
106	338	2820
107	338	2798
108	339	2776
109	340	2754
110	341	2733
111	342	2712
112	342	2691
113	343	2671
114	344	2651
115	345	2632
116	346	2611
117	347	2597
118	348	2582
119	349	2565
120	350	2548
121	351	2529
122	352	2511
123	353	2493
124	353	2476
125	354	2460
126	355	2442
127	356	2426
128	357	2411
129	358	2396
130	358	2380
131	359	2364
132	360	2349
133	361	2339
134	362	2325
135	364	2312
136	365	2299
137	366	2288
138	367	2278
139	368	2264
140	369	2250
141	369	2235
142	370	2221
143	371	2208
144	372	2195
145	373	2182
146	373	2169
147	374	2157
148	375	2147
149	377	2136
150	377	2125
151	379	2114
152	379	2103
153	380	2092
154	381	2081
155	382	2071
156	383	2059
157	384	2048
158	385	2037
159	385	2026
160	386	2013
161	387	2003
162	388	1994
163	389	1984
164	390	1976
165	391	1966
166	392	1956
167	393	1947
168	394	1937
169	394	1927
170	395	1918
171	396	1908
172	397	1899
173	398	1890
174	399	1881
175	399	1871
176	400	1863
177	401	1854
178	402	1847
179	404	1840
180	405	1834
181	406	1826
182	407	1819
183	408	1812
184	409	1805
185	410	1797
186	412	1792
187	413	1785
188	414	1779
189	416	1775
190	417	1768
191	419	1763
192	420	1757
193	421	1751
194	422	1744
195	423	1738
196	424	1731
197	425	1724
198	426	1717
199	427	1711
200	428	1704
201	430	1698
202	431	1692
203	432	1686
204	434	1684
205	435	1678
206	436	1672
207	437	1666
208	438	1659
209	439	1653
210	440	1647
211	441	1641
212	442	1636
213	443	1630
214	445	1625
215	446	1619
216	447	1616
217	449	1611
218	450	1605
219	451	1599
220	452	1593
221	453	1588
222	454	1583
223	455	1578
224	456	1573
225	457	1567
226	458	1562
227	459	1556
228	460	1550
229	462	1546
230	463	1543
231	464	1537
232	465	1532
233	466	1528
234	468	1524
235	469	1520
236	470	1515
237	471	1509
238	472	1504
239	473	1498
240	474	1494
241	477	1494
242	478	1490
243	480	1488
244	481	1483
245	482	1480
246	484	1476
247	485	1471
248	486	1467
249	487	1462
250	488	1456
251	489	1451
252	490	1447
253	491	1443
254	492	1439
255	493	1435
256	495	1431
257	496	1426
258	497	1421
259	498	1417
260	499	1413
261	500	1408
262	501	1404
263	502	1400
264	503	1395
265	504	1392
266	506	1389
267	507	1385
268	508	1381
269	509	1377
270	510	1373
271	511	1368
272	512	1364
273	513	1360
274	514	1356
275	515	1352
276	516	1347
277	517	1343
278	518	1339
279	519	1335
280	520	1332
281	521	1328
282	522	1325
283	523	1320
284	525	1317
285	526	1314
286	527	1310
287	528	1306
288	529	1302
289	530	1298
290	531	1293
291	531	1289
292	533	1286
293	534	1283
294	535	1280
295	536	1276
296	537	1272
297	538	1268
298	539	1265
299	540	1261
300	541	1257
301	542	1254
302	543	1250
303	544	1246
304	545	1242
305	546	1238
306	547	1236
307	548	1232
308	549	1229
309	550	1225
310	551	1222
311	552	1218
312	553	1215
313	554	1212
314	555	1208
315	556	1204
316	557	1200
317	558	1196
318	558	1192
319	559	1189
320	560	1185
321	561	1183
322	562	1179
323	563	1176
324	564	1173
325	566	1170
326	567	1167
327	568	1163
328	568	1160
329	569	1156
330	570	1153
331	571	1149
332	572	1145
333	572	1142
334	573	1138
335	574	1135
336	575	1133
337	576	1130
338	578	1127
339	578	1123
340	579	1120
341	580	1117
342	581	1114
343	582	1111
344	583	1107
345	584	1104
346	585	1101
347	585	1097
348	586	1094
349	587	1090
350	588	1087
351	589	1085
352	590	1082
353	592	1080
354	592	1077
355	593	1074
356	594	1071
357	595	1068
358	596	1065
359	597	1062
360	598	1059
361	599	1056
362	600	1053
363	601	1050
364	601	1047
365	603	1044
